"MYCOMBO,C,80","ET_Count,N,10,0","FIRST_MyHe,C,80","FIRST_ICES,C,80","FIRST_Sear,C,80","FIRST_MyNS,C,80","FIRST_MyDi,C,80","FIRST_MyD1,C,80","FIRST_MyCo,C,80","MyCalcArea,N,19,11","HSName,C,10"
56D3_WH,2,W,56D3,56D3-1,EW,WH,NH,56D3_WH,962.49073238,56D3W
56D4_EH,2,W,56D4,56D4-2,EW,EH,NH,56D4_EH,1375.9404517,56D4E
56D4_WH,2,W,56D4,56D4-1,EW,WH,NH,56D4_WH,1375.94047365,56D4W
56D5_EH,2,W,56D5,56D5-2,EW,EH,NH,56D5_EH,1375.94040386,56D5E
56D5_WH,2,W,56D5,56D5-1,EW,WH,NH,56D5_WH,1375.94042843,56D5W
56D6_EH,2,W,56D6,56D6-2,EW,EH,NH,56D6_EH,1375.94035076,56D6E
56D6_WH,2,W,56D6,56D6-1,EW,WH,NH,56D6_WH,1375.94037796,56D6W
56D7_EH,2,W,56D7,56D7-2,EW,EH,NH,56D7_EH,1375.94029243,56D7E
56D7_WH,2,W,56D7,56D7-1,EW,WH,NH,56D7_WH,1375.94032225,56D7W
56D8_EH,2,W,56D8,56D8-2,EW,EH,NH,56D8_EH,1375.94022889,56D8E
56D8_WH,2,W,56D8,56D8-1,EW,WH,NH,56D8_WH,1375.94026131,56D8W
56D9_EH,2,W,56D9,56D9-2,EW,EH,NH,56D9_EH,1375.94016014,56D9E
56D9_WH,2,W,56D9,56D9-1,EW,WH,NH,56D9_WH,1375.94019516,56D9W
56E0_EH,2,W,56E0,56E0-2,EW,EH,NH,56E0_EH,1375.94008622,56E0E
56E0_WH,2,W,56E0,56E0-1,EW,WH,NH,56E0_WH,1375.94012383,56E0W
56E1_EH,2,W,56E1,56E1-2,EW,EH,NH,56E1_EH,1375.94000715,56E1E
56E1_WH,2,W,56E1,56E1-1,EW,WH,NH,56E1_WH,1375.94004733,56E1W
56E2_EH,2,W,56E2,56E2-2,EW,EH,NH,56E2_EH,1375.93992294,56E2E
56E2_WH,2,W,56E2,56E2-1,EW,WH,NH,56E2_WH,1375.93996568,56E2W
56E3_EH,2,W,56E3,56E3-2,EW,EH,NH,56E3_EH,1375.93983363,56E3E
56E3_WH,2,W,56E3,56E3-1,EW,WH,NH,56E3_WH,1375.93987892,56E3W
56E4_EH,2,W,56E4,56E4-2,EW,EH,NH,56E4_EH,1375.93973924,56E4E
56E4_WH,2,W,56E4,56E4-1,EW,WH,NH,56E4_WH,1375.93978707,56E4W
56E5_EH,2,W,56E5,56E5-2,EW,EH,NH,56E5_EH,1375.93963981,56E5E
56E5_WH,2,W,56E5,56E5-1,EW,WH,NH,56E5_WH,1375.93969015,56E5W
56E6_EH,2,W,56E6,56E6-2,EW,EH,NH,56E6_EH,1375.93953535,56E6E
56E6_WH,2,W,56E6,56E6-1,EW,WH,NH,56E6_WH,1375.93958821,56E6W
56E7_EH,2,W,56E7,56E7-2,EW,EH,NH,56E7_EH,1375.93942591,56E7E
56E7_WH,2,W,56E7,56E7-1,EW,WH,NH,56E7_WH,1375.93948125,56E7W
56E8_EH,2,W,56E8,56E8-2,EW,EH,NH,56E8_EH,1375.93931152,56E8E
56E8_WH,2,W,56E8,56E8-1,EW,WH,NH,56E8_WH,1375.93936933,56E8W
56E9_EH,2,W,56E9,56E9-2,EW,EH,NH,56E9_EH,1375.9391922,56E9E
56E9_WH,2,W,56E9,56E9-1,EW,WH,NH,56E9_WH,1375.93925247,56E9W
56F0_EH,2,E,56F0,56F0-2,EW,EH,NH,56F0_EH,1375.93906801,56F0E
56F0_WH,2,E,56F0,56F0-1,EW,WH,NH,56F0_WH,1375.93913071,56F0W
56F1_EH,2,E,56F1,56F1-2,EW,EH,NH,56F1_EH,1375.93893897,56F1E
56F1_WH,2,E,56F1,56F1-1,EW,WH,NH,56F1_WH,1375.93900409,56F1W
56F2_EH,2,E,56F2,56F2-2,EW,EH,NH,56F2_EH,1375.93880512,56F2E
56F2_WH,2,E,56F2,56F2-1,EW,WH,NH,56F2_WH,1375.93887264,56F2W
56F3_EH,2,E,56F3,56F3-2,EW,EH,NH,56F3_EH,1375.93866651,56F3E
56F3_WH,2,E,56F3,56F3-1,EW,WH,NH,56F3_WH,1375.93873641,56F3W
56F4_EH,2,E,56F4,56F4-2,EW,EH,NH,56F4_EH,1375.93852318,56F4E
56F4_WH,2,E,56F4,56F4-1,EW,WH,NH,56F4_WH,1375.93859544,56F4W
56F5_EH,2,E,56F5,56F5-2,EW,EH,NH,56F5_EH,1375.93837517,56F5E
56F5_WH,2,E,56F5,56F5-1,EW,WH,NH,56F5_WH,1375.93844976,56F5W
56F6_EH,2,E,56F6,56F6-2,EW,EH,NH,56F6_EH,1375.93822253,56F6E
56F6_WH,2,E,56F6,56F6-1,EW,WH,NH,56F6_WH,1375.93829943,56F6W
56F7_EH,2,E,56F7,56F7-2,EW,EH,NH,56F7_EH,1375.9380653,56F7E
56F7_WH,2,E,56F7,56F7-1,EW,WH,NH,56F7_WH,1375.93814449,56F7W
56F8_EH,2,E,56F8,56F8-2,EW,EH,NH,56F8_EH,877.765165727,56F8E
56F8_WH,2,E,56F8,56F8-1,EW,WH,NH,56F8_WH,1301.22337862,56F8W
56F9_WH,2,E,56F9,56F9-1,EW,WH,NH,56F9_WH,1167.1860257,56F9W
57E7_EH,2,W,57E7,57E7-2,EW,EH,NH,57E7_EH,1351.66580036,57E7E
57E8_EH,2,W,57E8,57E8-2,EW,EH,NH,57E8_EH,1351.66568998,57E8E
57E8_WH,2,W,57E8,57E8-1,EW,WH,NH,57E8_WH,1351.66574577,57E8W
57E9_EH,2,W,57E9,57E9-2,EW,EH,NH,57E9_EH,1351.66557486,57E9E
57E9_WH,2,W,57E9,57E9-1,EW,WH,NH,57E9_WH,1351.66563301,57E9W
57F0_EH,2,E,57F0,57F0-2,EW,EH,NH,57F0_EH,1351.66545502,57F0E
57F0_WH,2,E,57F0,57F0-1,EW,WH,NH,57F0_WH,1351.66551552,57F0W
57F1_EH,2,E,57F1,57F1-2,EW,EH,NH,57F1_EH,1351.66533051,57F1E
